id,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,target
1,A,B,A,A,B,D,A,E,C,I,0.9231905532961956,0.6849683209193232,0.12445359136827933,0.2178862997233316,0.2814212891113367,0.8811221447083947,0.4216503694548104,0.7414131470380283,0.8957994783149412,0.8024605621118054,0.7244167511375598,0.7019154376947166,0.8776181954988187,0.7199028510670258,6.994022554611728
2,B,A,A,A,B,B,A,E,A,F,0.4376273493011995,0.014213022361150438,0.3574379809777704,0.8461267049747274,0.2823539978698745,0.4400106876739779,0.3462296232318922,0.2784948726175908,0.593413297150756,0.5460562232934362,0.6132521355858089,0.7412892342594564,0.32667869612242706,0.8084643570851451,8.071256056994837
3,A,A,A,C,B,D,A,B,C,N,0.7322085684360234,0.7601220397848099,0.4546439356312624,0.8129903217977429,0.2937562691270103,0.9141547023946132,0.3696015902215768,0.8325644700649786,0.8656196934768817,0.8252514470475938,0.2641037582107835,0.6955613880926892,0.8691325356777109,0.8283516037771875,5.760455653644145
4,A,A,A,C,B,D,A,E,G,K,0.7051416980694408,0.7716782515601588,0.15373530298873178,0.7328933127581979,0.7697848796518671,0.9341375246924604,0.5789300516632971,0.4073126019295212,0.868099438625062,0.7944016040067676,0.4942691057940123,0.6981252630692696,0.8097988097804755,0.6147663111504925,7.806456965797237
6,A,B,A,A,B,B,A,E,C,F,0.4860631333058962,0.6393485097316489,0.4962124675496179,0.3541858161801454,0.27910527719456824,0.38259969248860903,0.7059400327615131,0.32519312385582444,0.4409671383892113,0.4621459946175901,0.7244472417704731,0.6830731438086716,0.34345650980768205,0.2977434168196609,6.868974207542201
7,A,A,A,C,B,B,A,E,E,B,0.3197232748779705,0.7415066881547131,0.6489461659085171,0.4348440131218671,0.2806912849832809,0.2455600291947909,0.2173622658419901,0.6062980071867707,0.3452824024096702,0.3512348101996826,0.3719397387325932,0.2227821732934491,0.27922731886701346,0.7735999522625412,7.060652267139981
8,A,B,A,C,B,D,A,E,G,F,0.867227288772115,0.06744911616383177,0.19914496342492646,0.8409787236949972,0.2780683266925729,0.9312660060503124,0.6331567126061607,0.7841851371924841,0.9127042865665456,0.8011535962344724,0.599785845441211,0.9016564512272373,0.8374741336203172,0.6744767985930173,6.165491027043411
9,B,A,B,C,B,B,A,E,C,L,0.34820353123972186,0.6198190256686906,0.5508461361541476,0.18246478722301784,0.7842940028622096,0.3631296517344791,0.3493241948262567,0.2527341880765587,0.4741695621130767,0.4340621803092569,0.7295849591849826,0.5754552671348899,0.6951245696247857,0.22430991475380704,8.100109508185984
10,A,B,B,A,B,D,A,E,E,F,0.9209952120646842,0.4869926581375322,0.24465492249931095,0.19655822360457664,0.2789934631058817,0.9496765390756368,0.5329241846432116,0.7223103925838917,0.9244946367167144,0.8126236021127585,0.5941729519127146,0.8842716822476134,0.816702039407927,0.7775379790297064,8.180235551334896
11,A,B,A,C,B,D,A,E,E,G,0.8531316600301564,0.35319815426140794,0.1898637141836006,0.24929883705139436,0.2812667107416713,0.8257218325744059,0.6260832107854128,0.3108008266718708,0.9440502990141872,0.4916945305984128,0.5623090330956984,0.5550270068426041,0.6155976027815739,0.4841170022264688,6.589763672900057
